"Arena Cynthia Coull
195 Rue Empire, Greenfield Park, QC J4V 1T9"
"Aréna Du Complexe Du Val D'Espoir
17750 Rue du Val d'Espoir, Mirabel, QC J7J 1V7"
"Aréna Saint-Canut
15005 Chem. Dupuis, Mirabel, QC J7N 1M6"
"Forum - Arena La Plaine
6881 Bd Laurier, Terrebonne, QC J7M 1V9"
"Place Bell
1950 Rue Claude-Gagné, Laval, QC H7N 5H9"
"Aréna Jean Trottier
3430 Rue de Bellechasse, Montréal, QC H1X 3C8"
"Centre Sportif Mercier Inc.
18 Rue du Parc, Mercier, QC J6R 1E5"
"Aréna de Vaudreuil-Dorion
9 Jeannotte Rue, Vaudreuil-Dorion, QC J7V 6E6"
"Aréna d'Outremont
999 Ave McEachran, Outremont, QC H2V 3E6"
"Aréna Brébeuf
5635 Av. Decelles, Montréal, QC H3T 1W4"
"Mount Royal Arena (TMR)
1050 Chem. de Dunkirk, Mont-Royal, QC H3R 3J8"
"Place Bell
1950 Rue Claude-Gagné, Laval, QC H7N 5H9"
"Aréna Saint-François
9449 Rue de Tilly, Laval, QC H7A 3S3"
"Aréna Pierre-Creamer
1160 Bd Pie-X, Laval, QC H7V 3B5"
"Aréna Mike-Bossy
163 Boulevard Sainte-Rose E, Laval, Quebec H7H 1P2"
"Aréna Du Complexe Du Val D'Espoir
17750 Rue du Val d'Espoir, Mirabel, QC J7J 1V7"
"Centre d'Excellence Sports Rousseau
3600 Bd de la Grande-Allée, Boisbriand, QC J7H 1M9"
"Aréna Saint-Canut
15005 Chem. Dupuis, Mirabel, QC J7N 1M6"
"Aréna du complexe Jean-Laurin
8515 Rue Saint-Jacques, Mirabel, QC J7N 2A3"
"Arena Rosemère
155 Rue Charbonneau, Rosemère, QC J7A 3G1"
"Aréna municipal
999 Bd de la Grande-Allée, Boisbriand, QC J7G 1W6"
"Aréna du CCSSJ
201 Blvd. Armand-Frappier, Sainte-Julie, QC J3E 0C7"
"Aréna Jean-Rougeau
10 Rue Bella-Vista, Saint-Basile-le-Grand, QC J3N 1M1"
"Centre Sportif Gaétan Boucher
3850 Rue Edgar, Saint-Hubert, QC J4T 3C8"
"Complexe Sportif Mont-St-Hilaire
539 Bd Sir-Wilfrid-Laurier, Mont-Saint-Hilaire, QC J3H 4X7"
"ARÉNA MUNICIPAL LA PRAIRIE
250 Rue du Vice-Roi, La Prairie, Quebec J5R 0T2"
"Centre des glaces Gilles-Chabot
565 Bd de Mortagne, Boucherville, QC J4B 1B7"
"Centre Sportif Robert Lebel
995 Av. Simard, Chambly, QC J3L 4C7"
"Isatis Sport Chambly
3000 Bd Fréchette, Chambly, QC J3L 6Z6"
"CSRJQ Arena (CSRJQ Aréna Saint-Rémi)
170 Rue Saint-Viateur, Saint-Rémi, QC J0L 2L0"
"Sportplex de l'Énergie
150 Rue Jean Coutu, Varennes, Quebec J3X 0E1"
"Isatis Sport St-Constant
310 Wilfrid-Lamarche, Saint-Constant, Quebec J5A 1W2"
"Colisée Isabelle-Brasseur
965 Rue Choquette, Saint-Jean-sur-Richelieu, QC J3A 1V6"
"Arena Andre St-Laurent
799 Rue Lajeunesse, Beloeil, QC J3G 6H3"
"Aréna Marcel-Larocque
370 Av. Lareau, Saint-Jean-sur-Richelieu, QC J2X 2R6"
"Aréna Olympia
2950 Rue Dumont, Longueuil, QC J4L 3S9"
"Aréna municipal - Ville de Saint-Jean-sur-Richelieu
90 Bd Gouin, Saint-Jean-sur-Richelieu, QC J3B 3B5"
"Aréna Julien-Beauregard
727 Rue Desjardins, Marieville, QC J3M 1C9"
"Centre sportif Rosanne-Laflamme
7405 Terr. du Centre, Saint-Hubert, QC J3Y 7Z6"
"Centre Sportif Regional L Cyr
50 Rue de l'Aqueduc, Napierville, QC J0J 1L0"
"Sportium
105 Pl. Charles-Lemoyne, Sainte-Catherine, QC J5C 0A1"
"Forum - Arena La Plaine
6881 Bd Laurier, Terrebonne, QC J7M 1V9"
"Complexe JC Perreault
600 j J. Oswald-Forest St E, Saint-Roch-de-l'Achigan, Quebec J0K 3H0"
"Aréna de Mascouche
840 Rue Brien, Mascouche, QC J7K 2X3"
"Centre Sportif Mercier Inc.
18 Rue du Parc, Mercier, QC J6R 1E5"
"Aréna Clément-Jetté
8780 Av. Dubuisson, Montréal, QC H1L 2W6"
"Aréna Jean Trottier
3430 Rue de Bellechasse, Montréal, QC H1X 3C8"
"Aréna Bill-Durnan
4988 Rue Vézina, Montréal, QC H3W 1C1"
